Day,Temp1,Humidity1,Watertemp1,pH1,EC1,Temp2,Humidity2,Watertemp2,pH2,EC2,Temp3,Humidity3,Watertemp3,pH3,EC3,uppertemp,lowertemp,uperhumidity,lowerhumidity,upwatertemp,lowerwatertemp,upph,lowph,upec,lowec
1,28.8,67.6,27.5,5.5,1.4,28.88,65.13,27.02,5.80,1.08,28.84,67.34,27.40,6.91,1.29,15,30,50,70,22,28,5.5,7.2,1.1,1.8
2,28.8,68.5,27.2,5.5,1.4,29.14,67.32,27.29,5.83,1.46,29.35,67.36,28.10,6.85,1.13,15,30,50,70,22,28,5.5,7.2,1.1,1.8
3,28.78,67.11,27.20,5.55,1.44,29.03,68.71,27.13,5.91,1.84,29.66,66.06,28.79,6.71,1.22,15,30,50,70,22,28,5.5,7.2,1.1,1.8
4,29.91,64.33,28.27,5.60,1.63,28.93,69.33,26.97,6.00,1.79,29.11,66.94,28.23,6.67,1.32,15,30,50,70,22,28,5.5,7.2,1.1,1.8
5,30.30,66.06,28.90,5.61,1.68,28.86,69.23,26.87,6.43,1.72,29.45,67.65,28.29,6.66,0.99,15,30,50,70,22,28,5.5,7.2,1.1,1.8
6,30.60,64.75,29.43,5.71,1.54,28.91,70.08,26.87,6.96,1.62,29.29,67.79,28.08,6.96,1.26,15,30,50,70,22,28,5.5,7.2,1.1,1.8
7,30.41,66.39,29.43,5.90,1.13,29.41,67.34,27.30,6.99,1.69,29.09,67.70,27.75,7.15,1.14,15,30,50,70,22,28,5.5,7.2,1.1,1.8
8,30.09,64.70,29.09,6.50,1.13,29.94,65.48,27.88,6.79,1.44,28.89,66.91,27.42,6.87,1.08,15,30,50,70,22,28,5.5,7.2,1.1,1.8
9,29.91,65.30,28.72,6.50,0.73,30.35,70.51,28.43,6.76,1.42,28.42,67.91,26.83,6.84,1.91,15,30,50,70,22,28,5.5,7.2,1.1,1.8
10,29.76,66.60,28.44,6.56,1.11,30.16,66.09,28.54,6.87,1.26,28.34,66.80,26.64,7.07,1.51,15,30,50,70,22,28,5.5,7.2,1.1,1.8
11,29.49,66.97,28.19,6.80,0.83,29.45,67.32,27.97,7.10,1.33,28.76,67.99,26.95,7.04,1.61,15,30,50,70,22,28,5.5,7.2,1.1,1.8
12,29.60,65.90,28.28,6.80,1.01,29.17,61.69,27.42,6.86,1.49,29.26,67.78,27.80,7.10,1.64,15,30,50,70,22,28,5.5,7.2,1.1,1.8
13,29.49,67.26,27.83,6.94,1.09,29.01,62.76,27.18,6.96,1.79,29.01,67.44,27.88,6.84,1.60,15,30,50,70,22,28,5.5,7.2,1.1,1.8
14,29.31,68.90,27.54,7.10,1.09,28.79,62.94,26.99,7.14,1.63,28.74,67.26,27.37,6.83,1.37,15,30,50,70,22,28,5.5,7.2,1.1,1.8
15,29.05,69.09,27.25,7.18,1.09,28.51,63.36,26.65,7.50,1.33,28.60,67.09,27.19,6.91,1.56,15,30,50,70,22,28,5.5,7.2,1.1,1.8
16,28.82,68.47,26.98,7.40,1.18,28.79,63.62,26.67,6.96,1.50,28.58,67.27,27.18,7.06,1.39,15,30,50,70,22,28,5.5,7.2,1.1,1.8
17,29.06,68.40,26.99,7.86,1.14,29.43,62.85,27.34,6.70,1.64,28.41,66.98,27.11,7.07,1.63,15,30,50,70,22,28,5.5,7.2,1.1,1.8
18,29.54,66.81,27.40,7.20,1.20,29.81,62.37,27.97,6.66,1.15,28.18,66.78,26.82,7.18,1.32,15,30,50,70,22,28,5.5,7.2,1.1,1.8
19,29.85,65.68,27.91,7.20,1.60,29.55,63.13,28.05,6.70,1.71,27.96,66.99,26.59,7.08,1.40,15,30,50,70,22,28,5.5,7.2,1.1,1.8
20,30.11,64.76,28.35,7.20,1.61,29.19,64.14,27.62,6.81,1.49,27.95,67.69,26.53,7.36,1.91,15,30,50,70,22,28,5.5,7.2,1.1,1.8
21,30.05,63.09,28.50,7.37,1.48,28.91,65.79,27.23,6.26,1.65,28.39,68.00,26.92,7.22,1.43,15,30,50,70,22,28,5.5,7.2,1.1,1.8
