Day,actual,logistic,knn,decisiontree,random,bay
1,3,3,3,3,3,3
2,5,3,3,5,5,5
3,5,3,3,5,5,5
4,3,3,3,3,3,3
5,3,3,5,3,3,3
6,5,3,5,5,5,5
7,5,3,5,5,5,5
8,5,3,5,5,5,5
9,5,3,5,5,5,5
10,3,3,5,3,3,5
11,3,3,3,3,3,3
12,5,3,5,5,5,5
13,5,3,5,5,5,5
14,3,3,3,3,3,3
15,5,3,5,5,5,5
16,3,3,3,3,3,3
17,5,3,3,5,5,5
18,3,3,3,3,3,3
19,2,1,2,2,2,2
20,0,1,2,2,0,2
21,0,1,2,2,0,0
22,2,1,2,2,2,2
23,0,2,0,0,0,0
24,2,1,2,2,2,2
25,2,6,2,2,2,2
26,0,6,0,0,0,0
27,2,1,2,2,2,2
28,0,1,2,0,0,0
29,4,1,4,1,4,4
30,4,1,4,1,4,4
31,4,1,4,1,4,4
32,1,1,1,1,1,1
33,1,1,1,1,1,1
34,1,1,1,1,1,1
35,4,1,1,1,4,1
36,1,1,1,1,1,1
37,1,1,1,1,1,1
38,1,1,1,1,1,1
39,1,1,1,1,1,1
40,1,1,1,1,1,1
41,4,1,1,1,4,1
42,1,1,1,1,1,1
43,1,1,4,1,1,1
44,4,1,4,4,4,1
45,4,1,4,4,4,1
46,1,1,1,4,1,1
47,4,1,4,4,4,4
48,1,1,1,4,1,4
49,4,1,4,4,4,4
50,4,1,4,4,4,4
51,6,6,6,6,6,6
52,6,6,6,6,6,6
53,6,6,6,6,6,6
54,6,6,6,6,6,6
55,6,1,1,6,6,6
56,6,2,0,6,6,6
57,6,2,0,6,6,6
58,6,6,6,6,6,6
59,6,6,6,6,6,6
60,6,6,6,6,6,6
61,6,6,6,6,6,6
62,6,6,6,6,6,6
63,6,6,6,6,6,6
64,6,6,6,6,6,6
65,6,6,6,6,6,6
66,6,6,6,6,6,6
67,6,6,6,6,6,6
68,6,6,6,6,6,6
69,6,6,6,6,6,6
70,6,6,6,6,6,6
71,6,6,6,6,6,6
72,6,6,6,6,6,6
73,6,6,6,6,6,6
74,6,6,6,6,6,6
75,6,6,6,6,6,6
76,6,6,6,6,6,6
77,6,6,6,6,6,6
78,6,6,6,6,6,6
79,6,6,6,6,6,6
80,6,6,6,6,6,6
81,6,6,6,6,6,6
82,6,6,6,6,6,6
83,6,6,6,6,6,6
84,6,6,6,6,6,6
85,6,6,6,6,6,6
86,6,6,6,6,6,6
87,6,6,6,6,6,6
88,6,6,6,6,6,6
89,6,6,6,6,6,6
90,6,6,6,6,6,6
